# fromId;toId;distance;time;cost;transport;transfer

# =========================
# ANA ULAŞIM BAĞLANTILARI
# =========================

1;2;5.0;20;20;Metro;0
1;3;8.5;25;35;Vapur;0
1;11;2.0;8;0;Yürüyüş;0
1;12;6.0;20;15;Otobüs;0
1;20;7.0;25;20;Metro;1
1;48;3.0;12;0;Yürüyüş;0

2;3;6.0;20;30;Vapur;0
2;10;2.0;8;0;Yürüyüş;0
2;25;4.0;15;25;Vapur;0
2;30;3.0;12;15;Otobüs;0
2;37;6.0;20;20;Otobüs;1
2;38;3.5;12;15;Otobüs;0

3;4;2.0;10;0;Yürüyüş;0
3;5;1.2;6;0;Yürüyüş;0
3;14;2.0;10;0;Yürüyüş;0
3;20;0.7;5;0;Yürüyüş;0
3;21;2.0;10;0;Yürüyüş;0
3;28;0.8;5;0;Yürüyüş;0
3;29;1.8;9;0;Yürüyüş;0

4;13;0.5;3;0;Yürüyüş;0
4;21;0.6;4;0;Yürüyüş;0
4;22;0.9;5;0;Yürüyüş;0
4;23;0.4;3;0;Yürüyüş;0
4;24;0.5;3;0;Yürüyüş;0
4;27;1.8;8;0;Yürüyüş;0

5;6;2.5;10;0;Yürüyüş;0
5;22;0.8;4;0;Yürüyüş;0
5;23;2.0;9;0;Yürüyüş;0
5;30;0.8;4;0;Yürüyüş;0
5;31;1.2;6;0;Yürüyüş;0

6;7;4.0;15;15;Otobüs;0
6;23;1.0;5;0;Yürüyüş;0
6;24;3.5;12;15;Otobüs;0
6;31;1.0;5;0;Yürüyüş;0

7;8;2.0;8;0;Yürüyüş;0
7;24;1.2;5;0;Yürüyüş;0
7;49;0.7;4;0;Yürüyüş;0
7;17;4.0;15;15;Otobüs;0

8;17;3.0;12;15;Otobüs;0
8;18;1.5;6;0;Yürüyüş;0
8;39;5.5;20;20;Otobüs;1
8;46;6.0;22;20;Otobüs;1

9;15;4.0;15;15;Otobüs;0
9;34;1.0;5;0;Yürüyüş;0
9;35;2.0;8;0;Yürüyüş;0
9;42;1.5;7;0;Yürüyüş;0
9;43;3.0;12;15;Otobüs;0

10;30;4.0;15;15;Otobüs;0
10;38;2.0;8;0;Yürüyüş;0
10;33;4.0;15;15;Otobüs;0

